route_id,route_short_name,route_long_name,route_type,agency_id
650,,ICE 1007,2,DB
651,,ICE 544,2,DB
652,,ICE 554,2,DB
653,,ICE 1536,2,DB
654,,ICE 1009,2,DB
655,,IC 2356,2,DB
656,,ICE 1705,2,DB
657,,ICE 542,2,DB
658,,ICE 552,2,DB
659,,ICE 997,2,DB
660,,ICE 1607,2,DB
661,,ICE 840,2,DB
662,,ICE 1056,2,DB
663,,ICE 946,2,DB
664,,ICE 1001,2,DB
665,,ICE 1003,2,DB
666,,ICE 646,2,DB
667,,ICE 656,2,DB
668,,IC 1978,2,DB
669,,ICE 908,2,DB
670,,ICE 1638,2,DB
671,,ICE 808,2,DB
672,,ICE 644,2,DB
673,,ICE 1636,2,DB
674,,IC 2581,2,DB
675,,ICE 1606,2,DB
676,,ICE 2584,2,DB
677,,ICE 1054,2,DB
678,,ICE 1142,2,DB
679,,IC 2156,2,DB
680,,ICE 1555,2,DB
681,,ICE 694,2,DB
682,,ICE 1557,2,DB
683,,ICE 692,2,DB
684,,ICE 1559,2,DB
685,,IC 2155,2,DB
686,,IC 2152,2,DB
687,,ICE 1651,2,DB
688,,IC 1959,2,DB
689,,IC 1956,2,DB
690,,ICE 1653,2,DB
691,,ICE 596,2,DB
692,,ICE 1655,2,DB
693,,IC 2157,2,DB
694,,ICE 695,2,DB
695,,ICE 594,2,DB
696,,IC 2150,2,DB
697,,ICE 1657,2,DB
698,,ICE 592,2,DB
699,,ICE 1659,2,DB
700,,ICE 1646,2,DB
701,,ICE 1656,2,DB
702,,IC 2151,2,DB
703,,ICE 598,2,DB
704,,IC 1955,2,DB
705,,IC 1174,2,DB
706,,ICE 1535,2,DB
707,,ICE 1539,2,DB
708,,ICE 1633,2,DB
709,,ICE 1533,2,DB
710,,IC 1952,2,DB
711,,IC 1944,2,DB
712,,ICE 1004,2,DB
713,,ICE 1631,2,DB
714,,ICE 1002,2,DB
715,,ICE 1000,2,DB
716,,ICE 1008,2,DB
717,,ICE 1553,2,DB
718,,ICE 1006,2,DB
719,,ICE 1876,2,DB
720,,EC 43,2,PKP
721,,EC 46,2,DB
722,,EC 54,2,DB
723,,EC 45,2,PKP
724,,EC 44,2,DB
725,,EC 55,2,PKP
726,,EC 47,2,PKP
727,,EC 42,2,DB
728,,EN 50457,2,RE
729,,EC 60457,2,RE
730,,NJ 457,2,ÖBB
731,,EN 40457,2,RE
732,,D 14MJ,2,DPN
733,,EC 40,2,DB
734,,EC 41,2,PKP
735,,EN 452,2,RZD
736,,EN 50456,2,RE
737,,EC 60456,2,RE
738,,IC 1945,2,DB
739,,IC 1957,2,DB
740,,EN 40476,2,RE
741,,ICE 1537,2,DB
742,,IC 2218,2,DB
743,,IC 2312,2,DB
744,,IC 2313,2,DB
745,,IC 2167,2,DB
746,,ICE 1593,2,DB
747,,ICE 774,2,DB
748,,IC 2291,2,DB
749,,IC 2368,2,DB
750,,IC 2396,2,DB
751,,IC 1114,2,DB
752,,ICE 676,2,DB
753,,IC 2319,2,DB
754,,IC 1992,2,DB
755,,IC 2317,2,DB
756,,ICE 1595,2,DB
757,,IC 1973,2,DB
758,,IC 2260,2,DB
759,,IC 2318,2,DB
760,,ICE 778,2,DB
761,,ICE 710,2,DB
762,,IC 2010,2,DB
763,,IC 2011,2,DB
764,,IC 1915,2,DB
765,,ICE 1724,2,DB
766,,ICE 1584,2,DB
767,,ICE 1630,2,DB
768,,ICE 832,2,DB
769,,ICE 732,2,DB
770,,ICE 841,2,DB
771,,IC 2436,2,DB
772,,ICE 1032,2,DB
773,,ICE 830,2,DB
774,,IC 2342,2,DB
775,,IC 2084,2,DB
776,,IC 2012,2,DB
777,,IC 2085,2,DB
778,,RE 2013,2,DB
779,,IC 2349,2,DB
780,,IC 2575,2,DB
781,,IC 2071,2,DB
782,,ICE 697,2,DB
783,,ICE 907,2,DB
784,,ICE 905,2,DB
785,,ICE 898,2,DB
786,,ICE 809,2,DB
787,,IC 2579,2,DB
788,,IC 2572,2,DB
789,,IC 2573,2,DB
790,,IC 2576,2,DB
791,,ICE 2598,2,DB
792,,ICE 1590,2,DB
793,,ICE 1592,2,DB
794,,ICE 1698,2,DB
795,,ICE 1193,2,DB
