route_id,service_id,trip_id,trip_headsign
808,1170,4661,Stuttgart Hbf
808,1018,4662,Stuttgart Hbf
585,2197,4663,Dortmund Hbf
1134,1920,4664,München Hbf
585,2198,4665,Dortmund Hbf
585,178,4666,Dortmund Hbf
585,1635,4667,Dortmund Hbf
585,1642,4668,Dortmund Hbf
197,1803,4669,Frankfurt(Main)Hbf
779,8,4670,Frankfurt(Main)Hbf
201,417,4671,Saarbrücken Hbf
193,505,4672,Dortmund Hbf
1135,2199,4673,Frankfurt(Main)Hbf
1136,2200,4674,Frankfurt(Main)Hbf
1135,2201,4675,Frankfurt(Main)Hbf
1135,2202,4676,Frankfurt(Main)Hbf
779,2203,4677,Frankfurt(Main)Hbf
1136,2204,4678,Frankfurt(Main)Hbf
1135,2205,4679,Frankfurt(Main)Hbf
779,2206,4680,Frankfurt(Main)Hbf
1136,2207,4681,Frankfurt(Main)Hbf
1135,2208,4682,Frankfurt(Main)Hbf
582,2209,4683,München Hbf
1137,2210,4684,Berlin Gesundbrunnen
630,2211,4685,Berlin Südkreuz
758,124,4686,München Hbf
832,124,4687,Basel SBB
1137,124,4688,Berlin Gesundbrunnen
1137,38,4689,Berlin Gesundbrunnen
877,41,4690,Berlin Hbf (tief)
1137,2212,4691,Berlin Gesundbrunnen
1137,1170,4692,Berlin Gesundbrunnen
877,1170,4693,Berlin Gesundbrunnen
877,362,4694,Berlin Gesundbrunnen
881,362,4695,Berlin Gesundbrunnen
490,2213,4696,Köln Hbf
885,1076,4697,Berlin Gesundbrunnen
496,2214,4698,Köln Hbf
1138,703,4699,München Hbf
989,2215,4700,München Hbf
972,2216,4701,Hannover Hbf
1123,2217,4702,München Hbf
1124,2217,4703,Zürich HB
1125,2217,4704,Zürich HB
1034,2218,4705,Dortmund Hbf
1139,2219,4706,Nürnberg Hbf
1083,26,4707,Stuttgart Hbf
917,2220,4708,Frankfurt(Main)Hbf
927,320,4709,Frankfurt(Main)Hbf
983,2221,4710,München Hbf
992,2222,4711,München Hbf
917,321,4712,Frankfurt(Main)Hbf
1083,578,4713,Stuttgart Hbf
927,124,4714,Frankfurt(Main)Hbf
985,2223,4715,München Hbf
917,132,4716,Frankfurt(Main)Hbf
985,131,4717,München Hbf
992,133,4718,München Hbf
927,133,4719,Frankfurt(Main)Hbf
359,2224,4720,München Hbf
983,1004,4721,München Hbf
980,47,4722,München Hbf
985,164,4723,München Hbf
927,362,4724,Frankfurt(Main)Hbf
1083,1334,4725,Stuttgart Hbf
1083,1335,4726,Stuttgart Hbf
359,1017,4727,München Hbf
1085,1335,4728,Stuttgart Hbf
1086,1478,4729,Stuttgart Hbf
1140,1018,4730,Stuttgart Hbf
1141,1018,4731,Zürich HB
1083,60,4732,Stuttgart Hbf
1085,60,4733,Stuttgart Hbf
1142,2225,4734,Fulda
767,22,4735,München Hbf
787,27,4736,Berlin Ostbahnhof
787,1371,4737,Berlin Hbf (tief)
767,46,4738,München Hbf
915,2226,4739,Kiel Hbf
1140,2227,4740,Stuttgart Hbf
1143,2228,4741,Berlin Ostbahnhof
805,983,4742,Amsterdam Centraal
1144,983,4743,Frankfurt(Main)Hbf
1119,2229,4744,München Hbf
895,631,4745,Köln Hbf
893,631,4746,Berlin Gesundbrunnen
1145,2230,4747,Berlin Gesundbrunnen
1146,2231,4748,Hamburg-Altona
1147,2232,4749,Amsterdam Centraal
1146,26,4750,Hamburg-Altona
1140,121,4751,Stuttgart Hbf
1147,2233,4752,Bad Bentheim
1140,31,4753,Stuttgart Hbf
1146,124,4754,Hamburg-Altona
1146,2234,4755,Hamburg-Altona
1146,324,4756,Hamburg-Altona
1146,144,4757,Hamburg-Altona
1147,144,4758,Amsterdam Centraal
513,152,4759,Amsterdam Centraal
1146,37,4760,Hamburg-Altona
1146,2235,4761,Hamburg-Altona
654,40,4762,Berlin Hbf (tief)
1146,41,4763,Hamburg-Altona
693,41,4764,Berlin Gesundbrunnen
1147,666,4765,Amersfoort
1096,1328,4766,Hamburg-Altona
1140,55,4767,Stuttgart Hbf
1096,178,4768,Hamburg-Altona
1084,1017,4769,Darmstadt Hbf
991,870,4770,Hamburg-Altona
1096,1635,4771,Hamburg-Altona
1096,1642,4772,Hamburg-Altona
1148,2236,4773,Stuttgart Hbf
1148,58,4774,Stuttgart Hbf
884,2237,4775,Berlin Ostbahnhof
1058,2238,4776,Berlin Ostbahnhof
1149,312,4777,München Hbf
1150,1340,4778,Düsseldorf Hbf
1151,2239,4779,Hannover Hbf
631,1935,4780,Stuttgart Hbf
884,1935,4781,Berlin Hbf (tief)
1152,2240,4782,Hannover Hbf
1153,2241,4783,Köln Hbf
725,2242,4784,Köln Hbf
884,2243,4785,Berlin Ostbahnhof
1058,1160,4786,Berlin Ostbahnhof
884,133,4787,Berlin Ostbahnhof
1151,33,4788,Hannover Hbf
884,1062,4789,Berlin Ostbahnhof
884,2244,4790,Berlin Ostbahnhof
1058,139,4791,Berlin Ostbahnhof
1149,2245,4792,München Hbf
1150,2246,4793,Düsseldorf Hbf
630,2247,4794,Berlin Südkreuz
1127,1669,4795,Berlin Ostbahnhof
884,2248,4796,Berlin Ostbahnhof
725,2249,4797,Köln Hbf
1058,2250,4798,Berlin Ostbahnhof
630,1010,4799,Hannover Hbf
1127,41,4800,Berlin Ostbahnhof
884,41,4801,Berlin Ostbahnhof
1058,41,4802,Berlin Ostbahnhof
1062,41,4803,Berlin Ostbahnhof
884,1167,4804,Berlin Ostbahnhof
1058,501,4805,Berlin Hbf (tief)
1149,225,4806,München Hbf
631,1170,4807,Stuttgart Hbf
1127,48,4808,Berlin Hbf (tief)
884,48,4809,Berlin Hbf (tief)
725,1170,4810,Köln Hbf
1058,48,4811,Berlin Hbf (tief)
1062,1170,4812,Berlin Hbf (tief)
1058,2251,4813,Berlin Südkreuz
1127,49,4814,Berlin Ostbahnhof
884,49,4815,Berlin Ostbahnhof
1058,49,4816,Berlin Ostbahnhof
1047,2252,4817,Köln Hbf
1153,2253,4818,Köln Hbf
833,2254,4819,Hannover Hbf
1151,177,4820,Hannover Hbf
833,2255,4821,Hannover Hbf
